Link To Article,Image,Title,Description,Author,Publish Date,Full Article
https://farmnewsnow.com/2023/03/21/agriculture-roundup-for-tuesday-march-21-2023/,https://s3.amazonaws.com/socast-superdesk/media/20230321150340/a89fff5c-8e4f-42da-ac8b-003d381c33ab.jpg,"Agriculture Roundup for Tuesday, March 21, 2023","MELFORT, Sask. - Unifor has reached tentative collective agreements with CN Rail, averting strike action.Unifor National President Lana Payne said there were many challenges in getting to the deal done.""With the solid support of the membership, the bargaining committees were able to stand up to this large profitab...",,"Mar 21, 2023","MELFORT, Sask. – Unifor has reached tentative collective agreements with CN Rail, averting strike action.
Unifor National President Lana Payne said there were many challenges in getting to the deal done.
“With the solid support of the membership, the bargaining committees were able to stand up to this large profitable company and persevere to secure the tentative agreement,” Payne said.
The four tentative collective agreements cover Local 100 and Council 4000 members across the country. Unifor Local 100 represents skilled trades in mechanical shops and Unifor Council 4000 represents intermodal, clerical, mechanics and excavator operators.
Details of the collective agreement will not be released until after ratification. The vote will be held soon.
–
Eight skunks found dead last month in Vancouver and nearby Richmond, B.C., tested positive for avian flu.
British Columbia’s Ministry of Agriculture said the skunks were infected with the same H5N1 strain that has caused the deaths of millions of domestic poultry since the outbreak began in April last year.
The skunks were found in residential areas in both cities and were taken to B.C.’s Animal Health Centre over concerns they may have been deliberately poisoned.
The ministry said in a statement the skunks may have contracted H5N1 by scavenging on infected wild birds.
While avian flu in skunks is a low risk to human health; there are always risks when people or pets come into contact with sick or dead wild animals.
Since last April, wildlife infected by avian flu included more than 20 species of wild birds, two skunks and a fox found in rural areas of the province.
–
Dairy Farmers of Canada (DFC) have released its strategy to reduce emissions.
The Net Zero by 2050 Best Management Practices Guide will help Canadian dairy farmers contribute to reaching net-zero greenhouse gas (GHG) emissions by 2050, a goal set by DFC last year.
Dairy Farmers of Canada president Pierre Lampron said working toward the target confirms the dairy sector is part of the effort to tackle climate change and ensures consumers can continue to enjoy dairy products made with 100 per cent Canadian milk for years to come.
Lampron said while net zero is an important commitment, generations of Canadian dairy farmers have already shown their commitment to new practices.
“The leadership of Canadian dairy farmers in sustainability is bearing fruit. For instance, the carbon footprint of our dairy production is one of the lowest in the world,” Lampron said.
DFC’s Best Practices Guide has been developed in consultation with experts to help farmers identify and implement best management practices (BMPs) on their farm, including an overview of 30 BMP opportunities for reducing emissions, increasing carbon sequestration, and improving overall environmental sustainability.
–
Maple Leaf Foods raised its dividend as it reported a loss of $41.5 million in its latest quarter due in part to weaker pork markets and a cyber attack.
The food processing company said it will now pay a quarterly dividend of 21 cents per share, up from 20 cents per share.
The increased payment to shareholders came as Maple Leaf said its loss for the quarter ended Dec. 31 amounted to 34 cents per share compared with a profit of $1.9 million or two cents per share in the last three months of 2021.
Sales totalled $1.19 billion, up from $1.12 billion a year earlier.
The company said its most recent quarter included a $23 million hit related to what it called a cybersecurity incident in November and $25.8 million in startup expenses related to construction projects.
On an adjusted basis, Maple Leaf said it lost 28 cents per share in its fourth quarter compared with an adjusted profit of nine cents per share a year earlier.
–
alice.mcfarlane@pattisonmedia.com
On Twitter: @farmnewsNOW

PO Box 750611 Main StreetMelfort, SKS0E 1A0
Phone: 306-752-8263Newsroom: 306-752-6397
We strive to achieve the highest ethical standards in all that we do. Our newsroom abides by the RTNDA Code of Ethics and Professional Conduct and follows the Canadian Press Stylebook.
farmnewsNOW IS A DIVISION OF
This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.
"
https://farmnewsnow.com/2023/03/20/some-sask-farmers-say-elk-deer-populations-destroying-livestock-feed-crops-2/,https://s3.amazonaws.com/socast-superdesk/media/20230320210316/1438725e-4dbe-4cd6-90db-03a62dd05c1b.jpg,"Some Sask. farmers say elk, deer populations destroying livestock feed, crops","In many parts of Saskatchewan, deer and elk are more than just pretty wildlife to take pictures of by the side of the road.They're destroying livestock food resources and crops.The issue was brought up at the annual Saskatchewan Association of Rural Municipalities (SARM) convention in Saskatoon last week, and several f...",,"Mar 20, 2023","In many parts of Saskatchewan, deer and elk are more than just pretty wildlife to take pictures of by the side of the road.
They’re destroying livestock food resources and crops.
The issue was brought up at the annual Saskatchewan Association of Rural Municipalities (SARM) convention in Saskatoon last week, and several farmers wanted to know what the province planned to do about it.
RM of Val Marie Reeve Larry Grant addressed both Premier Scott Moe and Environment Minister Dana Skoropad during the “Bear Pit” question-and-answer period.
He told both of them that the western side of the province had been in drought for a long time and growing feed was impossible for many farmers.
“One thing that has grown is the deer and elk population. They’re decimating feed stacks. In my area, hay — if you can get it — is $200 a bale, delivered. The deer are moving in and taking their share first and what’s left they urinate on and defecate on, and destroy it,” he said.
Grant said the action was needed immediately to control the deer and elk populations.
That sentiment was echoed by RM of Insinger Coun. Dwayne Kitzan. The RM is northwest of Yorkton.
“This is a big problem and it’s growing,” he said. “It’s not only the feed and the damage that they do, but it’s … the wolves that are moving in, the coyotes, the ravens and the magpies, and they’re doing a lot of damage also.”
SARM president Ray Orb said 2023 was a “worst-case scenario” year, not just limited to the wintertime.
“We had an early snow. We had a lot of ice with the snow,” he said. “The wildlife are really in trouble, so we need to figure out something.”
Orb explained that not only had farmers met with provincial representatives but resolutions had also been passed by SARM delegates, calling for depredation tags to be issued, something that would help in the short term.
“In the long term, I think we have to have a better management plan for wildlife. It is also increasing limits … because they’re on the draw system. They need to have open season for some places like a regular season so that they’re better controlled,” added Orb.
In the past, Orb mentioned the province had set up feeding stations, especially for elk, to get them away from farmers’ fields and yards.
While Moe and Skoropad didn’t mention that, they did say that depredation tags could be issued. Those are permits that allow farmers to shoot certain wildlife on their property to protect their crops and livestock.
“I definitely hear what your concern is,” said Skoropad. “We’re going to be looking at offering more tags to address the population.”
“I’m going to ask … our minister of environment to engage with (Orb) and his team on the potential of some depredation tags being made available to SARM,” said Moe.
Grant said if something wasn’t done immediately, there could be disastrous consequences.
“It’s in dire straits. The livestock industry has dealt with drought and feed shortages, and we’re not going to have a livestock industry if something isn’t done,” said Grant.
A request for an interview has been sent to the Ministry of Environment for comment on issuing special hunting tags or other potential solutions to farmers’ concerns.

PO Box 750611 Main StreetMelfort, SKS0E 1A0
Phone: 306-752-8263Newsroom: 306-752-6397
We strive to achieve the highest ethical standards in all that we do. Our newsroom abides by the RTNDA Code of Ethics and Professional Conduct and follows the Canadian Press Stylebook.
farmnewsNOW IS A DIVISION OF
This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.
"
https://farmnewsnow.com/2023/03/20/feds-province-invest-485m-in-agricultural-sector/,https://s3.amazonaws.com/socast-superdesk/media/20230320160336/1a3dc281-cb16-4b90-a527-a9bb5d9d2b93.jpg,"Feds, province invest $485M in agricultural sector","Saskatchewan's agricultural sector is getting additional support from the federal and provincial governments.On Monday, the governments announced $485 million for what is called ""strategic agricultural initiatives"" in the province under a new five-year Sustainable Canadian Agricultural Partnership (CAP).""...",,"Mar 20, 2023","Saskatchewan’s agricultural sector is getting additional support from the federal and provincial governments.
On Monday, the governments announced $485 million for what is called “strategic agricultural initiatives” in the province under a new five-year Sustainable Canadian Agricultural Partnership (CAP).
“Through the Sustainable Canadian Agricultural Partnership, we are investing in the economic, social and environmental sustainability of the agriculture sector, while ensuring the resilience of supply chains,” Gudie Hutchings, the federal minister of rural economic development, said in a media release.
“These programs and initiatives will create new ways for producers in Saskatchewan and processors to continue to improve their competitiveness while protecting our environment.”
“The Sustainable Canadian Agricultural Partnership will help build on the great work already happening in the agriculture industry in Saskatchewan,” Saskatchewan Agriculture Minister David Marit added. “This investment will see enhancements to existing programs and the introduction of new programs to position us to continue on our sustainability journey, while ensuring the sector continues to grow, prosper, and remain competitive.”
The Sustainable CAP is a five-year $3.5-billion investment by the federal and provincial governments. It includes $1 billion in federal programs and activities and $2.5 billion in cost-shared programs and activities by the two levels of government.
The program includes $89.4 million annually in strategic programming for Saskatchewan farmers, ranchers and agri-businesses, up from $71.2 million in the previous federal-provincial partnership.
“Under the new agreement, there is a continued focus on agricultural research and increased support for water development, with an increased funding cap in the Farm and Ranch Water Infrastructure Program and a larger per-acre payment under the Irrigation Development Program,” the release said.
Under the deal: $176.6 million will be invested to build capacity in the agriculture sector; $53.4 million will go to support the long-term resiliency and sustainability of the sector; $40.2 million will go to support the sustainability of the sector by anticipating, mitigating and responding to risks while building public trust; $2 million will be invested to help the industry expand domestic and international trade opportunities; and, $175 million will be invested in research and development.
As well, $37.8 million will be used to support programs delivered by the federal government, including AgriMarketing and AgriAssurance.
There also will be offerings of more business risk management (BRM) programs to help producers manage risks that threaten the viability of their farms.
The Sustainable CAP is to go into effect on April 1.

PO Box 750611 Main StreetMelfort, SKS0E 1A0
Phone: 306-752-8263Newsroom: 306-752-6397
We strive to achieve the highest ethical standards in all that we do. Our newsroom abides by the RTNDA Code of Ethics and Professional Conduct and follows the Canadian Press Stylebook.
farmnewsNOW IS A DIVISION OF
This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.
"
https://farmnewsnow.com/2023/03/17/saskatchewan-govt-sees-rail-merger-as-opportunity/,https://s3.amazonaws.com/socast-superdesk/media/20230317210332/a282edb8-5536-4385-904e-2f99e4cbabd8.jpg,Saskatchewan gov't sees rail merger as opportunity,"Saskatchewan's minister of agriculture is seeing opportunity in the recent approval of a move by Canadian Pacific Rail (CP Rail).The company's takeover of Kansas City Southern Railway has now been approved by the Surface Transportation Board in the U.S., meaning the two will merge and become known as Canadian Pacific K...",,"Mar 17, 2023","Saskatchewan’s minister of agriculture is seeing opportunity in the recent approval of a move by Canadian Pacific Rail (CP Rail).
The company’s takeover of Kansas City Southern Railway has now been approved by the Surface Transportation Board in the U.S., meaning the two will merge and become known as Canadian Pacific Kansas City.
It would create the only single-line rail network linking Canada, the U.S. and Mexico.
“We see some great opportunity, especially with companies trading into Mexico,” Agriculture Minister David Marit said.
“It just gives another opportunity for us to move our product out of this province without having to go east or west.”
Marit said Mexico is Saskatchewan’s fifth-largest trading partner and those numbers have been rising over the last few years, hitting $1 billion last year.
He said this is an opportunity for companies in Saskatchewan and Mexico to expand even further now that there could be a direct link.
“Those companies are doing business in all of Latin America, so now we have access to, I would say, probably in the neighbourhood of excess of 300 million people,” said Marit.
Marit didn’t have any concerns about the move distracting CP Rail from moving grain and agriculture commodities in Saskatchewan, saying it could mean the exact opposite.
And while CN Rail and the U.S. government had voiced some concerns about the acquisition reducing competition in the industry, Marit doesn’t share those concerns.
The deal is worth about $31 billion and the new merged rail line will operate 33,000 kilometres of rail and employ nearly 22,000 people.
— With files from The Canadian Press

PO Box 750611 Main StreetMelfort, SKS0E 1A0
Phone: 306-752-8263Newsroom: 306-752-6397
We strive to achieve the highest ethical standards in all that we do. Our newsroom abides by the RTNDA Code of Ethics and Professional Conduct and follows the Canadian Press Stylebook.
farmnewsNOW IS A DIVISION OF
This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.
"
https://farmnewsnow.com/2023/03/17/floods-fill-some-of-californias-summer-strawberry-fields/,"https://cloudinary.jpbgdigital.com/dmlwdg4vj/image/fetch/w_800,h_450,c_fill,g_faces/https%3A%2F%2Fs3.amazonaws.com%2Fsocast-superdesk%2Fmedia%2F20230317210328%2Fae46104689687dfd07bd6584c0366aaed593ddb7f10924f621c5a7d53023d78a.png",Floods fill some of California's summer strawberry fields,"As river water gushed through a broken levee, thousands of people in a California farming town were forced to evacuate as their homes were flooded and businesses destroyed.Yet another potential casualty of the powerful rainstorms that drenched coastal California: hundreds of acres of fresh strawberries slated for Ameri...",,"Mar 17, 2023","As river water gushed through a broken levee, thousands of people in a California farming town were forced to evacuate as their homes were flooded and businesses destroyed.
Yet another potential casualty of the powerful rainstorms that drenched coastal California: hundreds of acres of fresh strawberries slated for America’s supermarket shelves this summer.
Industry experts estimate about a fifth of strawberry farms in the Watsonville and Salinas areas have been flooded since the levee ruptured late Friday about 70 miles (110 kilometers) south of San Francisco and another river overflowed. It’s too soon to know whether the berry plants can be recovered, but the longer they remain underwater the more challenging it can get, said Jeff Cardinale, a spokesperson for the California Strawberry Commission.
“When the water recedes, what does the field look like — if it is even a field anymore?” Cardinale said. “It could just be a muddy mess where there is nothing left.”
For years, California’s farmers have been plagued by drought and battles over water as key sources have run dry. But so far this winter, the nation’s most populous state — and a key source of food for the nation — has been battered by 11 atmospheric rivers as well as powerful storms fueled by arctic air that produced blizzard conditions in the mountains.
Many communities have been coping with intense rainstorms and flooding, including the unincorporated community of Pajaro, known for its strawberry crop. The nearby Pajaro River swelled with runoff from last week’s rains and the levee — built in the 1940s to provide flood protection and a known risk for decades — ruptured, forcing the evacuation of more than 8,000 people from the largely Latino farmworker community.
Farmworkers have seen their hours reduced or slashed entirely due to the storms, said Antonio De Loera-Brust, a spokesperson for United Farm Workers. The most critical issue, he said, is helping those in the community of Pajaro rebuild.
The overwhelming majority of U.S.-grown strawberries come from California, with farms in different regions of the state harvesting the berries at distinct times of the year. About a third of the state’s strawberry acreage is in the Watsonville and Salinas areas, according to the commission.
Peter Navarro grows strawberries, raspberries and blackberries on a farm by the Pajaro River. He said he was fortunate his fields weren’t flooded by the levee rupture, but still expects his crop to be delayed several weeks due to the rainy, cold weather.
After planting berries last year, Navarro said he and other farmers were concerned about water sources drying up due to prolonged drought.
“When it started raining, we were elated, happy, saying, ‘This is what we need, a rainy season,’” Navarro said. “We certainly were not expecting all these atmospheric rivers. It just overwhelmed us — and overwhelmed the river.”
Other crops are also affected by the deluge in the Pajaro Valley, such as lettuce and other greens. Some vegetables had already been planted, but many hadn’t, and might see delays in planting due to the storms, said Norm Groot, executive director of the Monterey County Farm Bureau.
“Right now, I think everyone’s out trying to save the farm, so to speak,” Groot said, adding more rain was forecast for the weekend.
Monterey County is home to Pajaro and the crop-rich Salinas Valley, and has more than 360,000 farmed acres, said Juan Hidalgo, the county’s agricultural commissioner. The county estimates the farm sector was hit by $324 million in losses from January storms, and strawberries, raspberries and greens will likely be affected by this one, he said.
But, he added, many acres of farmland won’t be, and consumers may not feel the impact of the storms. “We’re still going to have a lot of production,” he said.
A challenge for strawberry growers is the plants are already in the ground. Soren Bjorn, president of Driscoll’s of the Americas, said the company works with a network of independent growers to package, ship and sell strawberries. In the Pajaro Valley, farmers did their planting last fall so the berries would hit stores during the summertime when it’s too hot to grow the fruits further south, he said.
Right now, farmers can’t even access the fields, because roads are covered in water. But with about 900 acres (364 hectares) under water in the Pajaro Valley and another 600 acres (243 hectares) flooded in nearby Salinas, Bjorn said the potential impact is significant, especially as farmers not only face the challenge of mud-soaked plants but also damaged equipment.
In the peak of the summer, Bjorn said most of the strawberries in the country come from this region.
“It’s too soon to know the full impact of this,” he said. “There is no way we are going to get what we had planned for.”

PO Box 750611 Main StreetMelfort, SKS0E 1A0
Phone: 306-752-8263Newsroom: 306-752-6397
We strive to achieve the highest ethical standards in all that we do. Our newsroom abides by the RTNDA Code of Ethics and Professional Conduct and follows the Canadian Press Stylebook.
farmnewsNOW IS A DIVISION OF
This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.
"
https://farmnewsnow.com/2023/03/17/what-you-need-to-know-about-bird-flu/,https://s3.amazonaws.com/socast-superdesk/media/20230317180352/25bbf495-ae88-4900-89bc-430896857a1d.jpg,What you need to know about bird flu,"Despite millions of chickens across Canada being impacted by bird flu, there doesn't appear to be a chicken shortage.That's according to the Chicken Farmers of Saskatchewan, who told farmnewsNOW in a statement that there's currently no issue.""We are in a unique position in Canada, as the flexibility of the supply ...",,"Mar 17, 2023","Despite millions of chickens across Canada being impacted by bird flu, there doesn’t appear to be a chicken shortage.
That’s according to the Chicken Farmers of Saskatchewan, who told farmnewsNOW in a statement that there’s currently no issue.
“We are in a unique position in Canada, as the flexibility of the supply management system allows the Canadian poultry and egg sectors to adjust production to demand, and we predominantly provide for the domestic market,” their statement read. “We have farmers in every province across the country, which always helps us ensure products for Canadians, even in times of uncertainty.”
Avian influenza, also known as bird flu, is a viral infection that spreads easily among birds. In many cases, this virus ends up being fatal.
As of Mar. 15, 2023, there were 71 infected premises across the country. This is impacting more than 7.1 million chickens. 
The hardest hit province is British Columbia, which has around half of the infected premises and half of the impacted animals. To help farmers and ranchers, the B.C. government has announced $5 million in funding to help protect farms from animal diseases. This also includes swine fever and foot-and-mouth disease.
“It is important that we continue to work together and stay vigilant to protect farmers and their animals, which protects B.C.’s economy and our food security,” said Pam Alexis, B.C.’s Minister of Agriculture and Food.
Meanwhile, people worried they can catch bird flu from affected chickens can breathe a sigh of relief.
The Government of Canada has said there’s no public health risk related to avian influenza. 
According to the Centers for Disease Control and Prevention (CDC) in the United States, humans have gotten the virus in the past, however, it’s a very rare occurrence. 
“Human infections with bird flu viruses have occurred most often after unprotected contact with infected birds or surfaces contaminated with bird flu viruses,” said the CDC. 
More information on avian influenza can be found on the CDC and the Government of Canada’s websites.
—
Jaryn.Vecchio@pattisonmedia.com
On Twitter: @princealbertnow

PO Box 750611 Main StreetMelfort, SKS0E 1A0
Phone: 306-752-8263Newsroom: 306-752-6397
We strive to achieve the highest ethical standards in all that we do. Our newsroom abides by the RTNDA Code of Ethics and Professional Conduct and follows the Canadian Press Stylebook.
farmnewsNOW IS A DIVISION OF
This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.
"
https://farmnewsnow.com/2023/03/16/feds-providing-4-6m-to-three-sask-agriculture-organizations/,https://s3.amazonaws.com/socast-superdesk/media/20230316200316/a13e6f08-0507-4986-bc0e-d77f19d33957.jpg,Feds providing $4.6M to three Sask. agriculture organizations,"Multiple agriculture organizations in Saskatchewan are getting funding from the federal government.PrairiesCan, a federal department that diversifies the economy across the Prairies, is supporting Protein Powered Farms ($3 million), Saskatchewan Food Industry Development Centre ($1 million), and SeedMaster Manufacturin...",,"Mar 16, 2023","Multiple agriculture organizations in Saskatchewan are getting funding from the federal government.
PrairiesCan, a federal department that diversifies the economy across the Prairies, is supporting Protein Powered Farms ($3 million), Saskatchewan Food Industry Development Centre ($1 million), and SeedMaster Manufacturing ($602,500).
Don Henry, the CEO of SeedMaster, told farmnewsNOW this funding will help them automate some of the work in their Emerald Park plant.
“The demand for our product has grown substantially and we needed to update some of our products and processes in our plant in order to meet our demand.” 
This includes new welders, overhead cranes, and a loading dock.
The roughly $600,000 SeedMaster is getting only covers half of the expected cost for the planned upgrades. The rest of the funds will be covered through their operating funds.
Henry explained the funding is also a loan and not a gift. Despite this, it helped them make the decision to move forward with the project.
“It helps us make that capital expenditure… it’s always a challenge making large capital expenditures in our business without knowing what the future holds,” Henry said. “It made our business decision easier.” 
According to PrairiesCan, Protein Powered Farms will be using the $3 million to install new plant-based fiber and extrusion equipment which will help them increase their ingredient processing capacity and develop new products. Just like SeedMaster, Protein Powered Farms funding is a loan.
As for Saskatchewan Food Industry Development Centre, PrairiesCan explained the $1 million will help the group enhance its co-packaging capacity for the provincial agri-food sector. This funding is a contribution from the federal government meaning they don’t have to pay it back. 
—
Jaryn.Vecchio@pattisonmedia.com
On Twitter: @princealbertnow

PO Box 750611 Main StreetMelfort, SKS0E 1A0
Phone: 306-752-8263Newsroom: 306-752-6397
We strive to achieve the highest ethical standards in all that we do. Our newsroom abides by the RTNDA Code of Ethics and Professional Conduct and follows the Canadian Press Stylebook.
farmnewsNOW IS A DIVISION OF
This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.
"
https://farmnewsnow.com/2023/03/16/i-cant-imagine-a-motive-rcmp-begin-investigation-into-senseless-killing-of-wild-horses-near-walhachin/,https://s3.amazonaws.com/socast-superdesk/media/20230316170324/1845d2bb-2f77-4eb0-aa29-87cbc942ab05.jpg,'I can't imagine a motive'; RCMP begin investigation into senseless killing of wild horses near Walhachin,"ASHCROFT, B.C. - Sometime in the past three weeks, somebody shot and killed 17 horses in the hills above Thompson River Estates between Kamloops and Ashcroft. The RCMP Livestock section is now attempting to find a motive for the senseless killings.""They don't belong to anyone. They have been roaming that area for ...",,"Mar 16, 2023","ASHCROFT, B.C. — Sometime in the past three weeks, somebody shot and killed 17 horses in the hills above Thompson River Estates between Kamloops and Ashcroft. The RCMP Livestock section is now attempting to find a motive for the senseless killings.
“They don’t belong to anyone. They have been roaming that area for a long time, like several other areas of the province that have feral horses that are just there. I can’t imagine a motive for why someone would want to do it. Especially where it was — they weren’t bothering anyone,” said Cpl. Cory Lepine.
RCMP were alerted to the killings Friday (Mar. 10). Lepine was able to confirm that some evidence was collected at the scene but cautioned the investigation could take some time. He noted that the horses were found spread throughout the area.
“There were two separate areas, one with six and the other with about 11, and they were spread out over quite a distance individually. They weren’t in a group. Whoever did this definitely took the time to track them or follow them one-by-one and shoot them,” said Lepine.
RCMP investigators from the force’s Forensic Identification Section were joined by a livestock investigator and a veterinarian in probing the scene this past weekend.
“I’ve been to other situations, neglect-type situations where the numbers were high, but as far as out on the range, a random animal, this is definitely the largest. We do have range animals. Most of the time it’s cows that are shot for no apparent reason. But this is definitely very troubling”
The 17 wild horses did have cultural significance to the Skeetchestn First Nation band, but the band declined to comment to CFJC Today. The RCMP is working with the band on the investigation.
UPDATE: Late in the day, the Skeetchestn Band provided CFJC Today with this statement:

PO Box 750611 Main StreetMelfort, SKS0E 1A0
Phone: 306-752-8263Newsroom: 306-752-6397
We strive to achieve the highest ethical standards in all that we do. Our newsroom abides by the RTNDA Code of Ethics and Professional Conduct and follows the Canadian Press Stylebook.
farmnewsNOW IS A DIVISION OF
This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.
"
https://farmnewsnow.com/2023/03/16/reeves-councillors-grill-sask-party-ministers-at-sarm-bear-pit/,https://s3.amazonaws.com/socast-superdesk/media/20230316160356/5a8ed0d1-eb3c-459b-b0e8-ac50ecb34ea5.png,"Reeves, councillors grill Sask. Party ministers at SARM 'Bear Pit'","The claws were out during the Saskatchewan Association of Rural Municipalities convention's 'Bear Pit' session at Prairieland Park on Wednesday.Reeves, councillors and other RM reps grilled cabinet ministers on topics including SaskPower's wind and solar farming, deer and elk control measures, taxation rates and Indige...",,"Mar 16, 2023","The claws were out during the Saskatchewan Association of Rural Municipalities convention’s ‘Bear Pit’ session at Prairieland Park on Wednesday.
Reeves, councillors and other RM reps grilled cabinet ministers on topics including SaskPower’s wind and solar farming, deer and elk control measures, taxation rates and Indigenous reconciliation and engagement, along with questions on why there still isn’t reliable cell and Internet coverage in many rural areas.
Questions on rural physician and nurse recruitment, mental health and addictions resources and a lack of services in remote areas dominated much of the discussion.
The new $200,000 rural and northern physician recruitment incentive was touted by Premier Scott Moe as making Saskatchewan competitive with other provinces, but the premier noted there were other issues that still need to be addressed.
“We have a number of retention incentives (and) recruitment incentives that are in place for hard-to-recruit areas of our health-care system,” Moe said.
“Whether it’s a physician, a nurse practitioner (or) an RN, we are targeting those incentives to those areas where we do have challenges — challenges in recruiting someone new, or challenges in retaining folks who are already there.”
Moe said the provincial government is also working to bring on more health-care support staff who are badly needed in many parts of the province.
“We’re doing that through immigration, we’re doing that through increasing training, and we’re also doing that using incentives to retain,” Moe added.
SARM president Ray Orb said there were a lot more questions than there were answers from the provincial government during the session.
“Going through the pandemic, of course there were some rural hospitals that had their ambulance services or their emergency services closed, and we’re hearing about that,” Orb said. “We’re asking the province to put a kind of rural lens on this.”
While he said the physician recruitment initiative was a great idea, Orb noted there were other issues that need to be addressed, like making sure rural areas have reliable broadband access and adequate policing.
If those problems are solved, Orb said rural Saskatchewan would become more attractive to prospective health-care workers.
The convention continues Thursday.

PO Box 750611 Main StreetMelfort, SKS0E 1A0
Phone: 306-752-8263Newsroom: 306-752-6397
We strive to achieve the highest ethical standards in all that we do. Our newsroom abides by the RTNDA Code of Ethics and Professional Conduct and follows the Canadian Press Stylebook.
farmnewsNOW IS A DIVISION OF
This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.
"
https://farmnewsnow.com/2023/03/16/study-involving-p-a-area-horses-examines-ptsd-treatment-for-emergency-responders/,https://s3.amazonaws.com/socast-superdesk/media/20230316160324/f358c8d8-f113-4747-8018-ebd8c3c59e21.png,Study involving P.A. area horses examines PTSD treatment for emergency responders,A research study is being done in the Prince Albert area trying to determine whether or not horses can help emergency responders managing PTSD.Cartier Farms has partnered with McMaster University to see if Equine Assisted Learning (EAL) could be a viable treatment to help with symptoms and improve functionality.The goa...,,"Mar 16, 2023","A research study is being done in the Prince Albert area trying to determine whether or not horses can help emergency responders managing PTSD.
Cartier Farms has partnered with McMaster University to see if Equine Assisted Learning (EAL) could be a viable treatment to help with symptoms and improve functionality.
The goal is to get 80 participants split into four different rounds. They will then be split again with one half getting to experience EAL treatment, while the other half does not.
“We’ll figure out if there are differences in those two groups that would suggest that the EAL helped or didn’t help,” said Ashley Williams, postdoctoral fellow with McMaster University’s trauma and recovery unit.
After the study, those who didn’t get to take part in the sessions will be able to do so. 
As for those chosen for EAL treatment during the study, they’ll get to take advantage of two sessions a week over an eight-week period.
Each participant, whether they’re getting the treatment or not, will be interviewed before the study, when it finishes, and then three months down the road. 
Williams explained this is a relatively new area of research. She noted there has been some work done looking into horses helping veterans.
“There seems to be some indication that it could be helpful for veteran populations so we wanted to see what this would look like for public safety populations,” Williams said.
She added they understand veterans and emergency responders are two different groups, however, they are professions with exposure to trauma.
Meanwhile, those interested in taking part would have to be in the Prince Albert area for the entirety of the eight-week study since Cartier Farms is located just north of Saskatchewan’s third biggest city.
Gayle Cartier, co-owner of Cartier Farms, said she’s excited to see if their horses can make a difference in emergency responders’ lives.
She explained they were asked to take part after helping with two provincial studies.
“They were looking at the wellness that horses have in EAL with participants that are dealing with some sort of trauma or issue with wellness in general,” she said.
This study is expected to be more scientific, while also focusing on a specific group of people.
She’s also hoping this will prove that EA can be a successful therapy used in conjunction with other treatments and interventions.
The plan is to have the first round of the study start up in the spring.
Those interested in learning more about the study, including potentially participating, can call 647-551-2701, email ealteam@mcmaster.ca, or provide contact information to the research team online.
—
Jaryn.Vecchio@pattisonmedia.com
On Twitter: @princealbertnow

PO Box 750611 Main StreetMelfort, SKS0E 1A0
Phone: 306-752-8263Newsroom: 306-752-6397
We strive to achieve the highest ethical standards in all that we do. Our newsroom abides by the RTNDA Code of Ethics and Professional Conduct and follows the Canadian Press Stylebook.
farmnewsNOW IS A DIVISION OF
This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.
"
